timestamp,max_thermal_zone_mC
2026-08-27T11:22:07+01:00,47200
2026-08-27T11:22:22+01:00,47000
2026-08-27T11:22:37+01:00,46800
2026-08-27T11:22:52+01:00,46800
2026-08-27T11:23:07+01:00,46800
2026-08-27T11:23:22+01:00,46800
2026-08-27T11:23:37+01:00,46800
2026-08-27T11:23:52+01:00,46800
2026-08-27T11:24:07+01:00,46800
2026-08-27T11:24:22+01:00,46800
2026-08-27T11:24:37+01:00,46800
2026-08-27T11:24:52+01:00,46800
2026-08-27T11:25:07+01:00,46800
2026-08-27T11:25:22+01:00,46800
2026-08-27T11:25:37+01:00,46800
2026-08-27T11:25:52+01:00,46800
2026-08-27T11:26:07+01:00,46800
2026-08-27T11:26:22+01:00,46800
2026-08-27T11:26:37+01:00,46800
2026-08-27T11:26:52+01:00,46800
2026-08-27T11:27:07+01:00,46800
2026-08-27T11:27:22+01:00,46800
2026-08-27T11:27:37+01:00,46800
2026-08-27T11:27:52+01:00,46800
2026-08-27T11:28:07+01:00,46800
2026-08-27T11:28:22+01:00,46800
2026-08-27T11:28:37+01:00,46800
2026-08-27T11:28:52+01:00,46800
2026-08-27T11:29:07+01:00,46800
2026-08-27T11:29:22+01:00,46800
2026-08-27T11:29:37+01:00,46800
2026-08-27T11:29:52+01:00,46800
2026-08-27T11:30:07+01:00,46800
2026-08-27T11:30:22+01:00,46800
2026-08-27T11:30:37+01:00,46800
2026-08-27T11:30:52+01:00,46800
2026-08-27T11:31:07+01:00,46800
2026-08-27T11:31:23+01:00,46800
2026-08-27T11:31:38+01:00,46800
2026-08-27T11:31:53+01:00,46800
2026-08-27T11:32:08+01:00,46700
2026-08-27T11:32:23+01:00,46700
2026-08-27T11:32:38+01:00,46700
2026-08-27T11:32:53+01:00,46700
2026-08-27T11:33:08+01:00,46700
2026-08-27T11:33:23+01:00,46700
2026-08-27T11:33:38+01:00,46700
2026-08-27T11:33:53+01:00,46700
2026-08-27T11:34:08+01:00,46700
2026-08-27T11:34:23+01:00,46600
2026-08-27T11:34:38+01:00,46700
2026-08-27T11:34:53+01:00,46700
2026-08-27T11:35:08+01:00,46700
2026-08-27T11:35:23+01:00,46600
2026-08-27T11:35:38+01:00,46600
2026-08-27T11:35:53+01:00,46400
2026-08-27T11:36:08+01:00,46400
2026-08-27T11:36:23+01:00,46200
2026-08-27T11:36:38+01:00,46600
2026-08-27T11:36:53+01:00,46600
2026-08-27T11:37:08+01:00,46400
2026-08-27T11:37:23+01:00,46500
2026-08-27T11:37:38+01:00,46600
2026-08-27T11:37:53+01:00,46500
2026-08-27T11:38:08+01:00,46500
2026-08-27T11:38:23+01:00,46700
2026-08-27T11:38:38+01:00,46500
2026-08-27T11:38:53+01:00,46500
2026-08-27T11:39:08+01:00,46500
2026-08-27T11:39:23+01:00,46500
2026-08-27T11:39:38+01:00,46400
2026-08-27T11:39:53+01:00,46300
2026-08-27T11:40:08+01:00,46500
2026-08-27T11:40:23+01:00,46400
2026-08-27T11:40:38+01:00,46400
2026-08-27T11:40:53+01:00,46200
2026-08-27T11:41:08+01:00,46300
2026-08-27T11:41:23+01:00,46200
2026-08-27T11:41:38+01:00,46200
2026-08-27T11:41:53+01:00,46200
2026-08-27T11:42:08+01:00,46400
2026-08-27T11:42:23+01:00,46300
2026-08-27T11:42:38+01:00,46300
2026-08-27T11:42:53+01:00,46300
2026-08-27T11:43:08+01:00,46200
2026-08-27T11:43:23+01:00,46200
2026-08-27T11:43:38+01:00,46100
2026-08-27T11:43:53+01:00,46200
2026-08-27T11:44:08+01:00,46100
2026-08-27T11:44:24+01:00,46200
2026-08-27T11:44:39+01:00,46200
2026-08-27T11:44:54+01:00,46100
2026-08-27T11:45:09+01:00,46100
2026-08-27T11:45:24+01:00,46100
2026-08-27T11:45:39+01:00,46100
2026-08-27T11:45:54+01:00,46200
