mechanism,n_agents,seed,auction_idx,agent_idx,truthful_valuation,truthful_utility,best_misreport_bid,best_misreport_utility,regret
weighted_aggregation,3,0,22,0,0.322904,0.128992,0.645808,0.154582,0.025589
weighted_aggregation,3,0,22,1,0.061770,0.016754,0.123540,0.017479,0.000724
weighted_aggregation,3,0,22,2,0.006856,-0.000827,0.001714,-0.000824,0.000003
second_price,3,0,23,0,0.195316,0.000000,0.048829,0.000000,0.000000
second_price,3,0,23,1,0.712833,0.000000,0.178208,0.000000,0.000000
second_price,3,0,23,2,0.953514,0.240680,0.715135,0.240680,0.000000
weighted_aggregation,3,0,23,0,0.195316,0.037213,0.390633,0.043299,0.006086
weighted_aggregation,3,0,23,1,0.712833,0.238052,1.425667,0.356375,0.118323
weighted_aggregation,3,0,23,2,0.953514,0.421279,1.907027,0.640252,0.218973
second_price,3,0,24,0,0.533377,0.000000,0.133344,0.000000,0.000000
second_price,3,0,24,1,0.637766,0.000000,0.159442,0.000000,0.000000
second_price,3,0,24,2,0.803474,0.165708,0.803474,0.165708,0.000000
weighted_aggregation,3,0,24,0,0.533377,0.148515,1.066753,0.209919,0.061404
weighted_aggregation,3,0,24,1,0.637766,0.197655,1.275533,0.290024,0.092370
weighted_aggregation,3,0,24,2,0.803474,0.305219,1.606948,0.462942,0.157722
second_price,3,0,25,0,0.942952,0.269138,0.707214,0.269138,0.000000
second_price,3,0,25,1,0.673814,0.000000,0.168454,0.000000,0.000000
second_price,3,0,25,2,0.135807,0.000000,0.033952,0.000000,0.000000
weighted_aggregation,3,0,25,0,0.942952,0.420075,1.885904,0.631018,0.210943
weighted_aggregation,3,0,25,1,0.673814,0.226582,1.347628,0.333585,0.107003
weighted_aggregation,3,0,25,2,0.135807,0.022461,0.271615,0.024994,0.002533
second_price,3,0,26,0,0.446406,0.091763,0.446406,0.091763,0.000000
second_price,3,0,26,1,0.354643,0.000000,0.088661,0.000000,0.000000
second_price,3,0,26,2,0.071821,0.000000,0.017955,0.000000,0.000000
weighted_aggregation,3,0,26,0,0.446406,0.169702,0.892811,0.218008,0.048306
weighted_aggregation,3,0,26,1,0.354643,0.122921,0.709286,0.152471,0.029549
weighted_aggregation,3,0,26,2,0.071821,0.015070,0.143642,0.015879,0.000809
second_price,3,0,27,0,0.267253,0.000000,0.066813,0.000000,0.000000
second_price,3,0,27,1,0.716012,0.448758,0.358006,0.448758,0.000000
second_price,3,0,27,2,0.139672,0.000000,0.034918,0.000000,0.000000
weighted_aggregation,3,0,27,0,0.267253,0.075494,0.534507,0.090572,0.015078
weighted_aggregation,3,0,27,1,0.716012,0.323576,1.432024,0.448745,0.125169
weighted_aggregation,3,0,27,2,0.139672,0.031899,0.279344,0.035328,0.003429
second_price,3,0,28,0,0.884427,0.436993,0.663321,0.436993,0.000000
second_price,3,0,28,1,0.447434,0.000000,0.111859,0.000000,0.000000
second_price,3,0,28,2,0.142939,0.000000,0.035735,0.000000,0.000000
weighted_aggregation,3,0,28,0,0.884427,0.411918,1.768855,0.597372,0.185454
weighted_aggregation,3,0,28,1,0.447434,0.131348,0.894869,0.175351,0.044002
weighted_aggregation,3,0,28,2,0.142939,0.030287,0.285879,0.033776,0.003489
second_price,3,0,29,0,0.790854,0.625992,0.197713,0.625992,0.000000
second_price,3,0,29,1,0.007162,0.000000,0.001790,0.000000,0.000000
second_price,3,0,29,2,0.164862,0.000000,0.041215,0.000000,0.000000
weighted_aggregation,3,0,29,0,0.790854,0.396285,1.581707,0.544421,0.148136
weighted_aggregation,3,0,29,1,0.007162,0.000362,0.014324,0.000364,0.000002
weighted_aggregation,3,0,29,2,0.164862,0.042402,0.329723,0.047706,0.005304
second_price,3,0,30,0,0.130066,0.000000,0.032517,0.000000,0.000000
second_price,3,0,30,1,0.848156,0.561722,0.424078,0.561722,0.000000
second_price,3,0,30,2,0.286435,0.000000,0.071609,0.000000,0.000000
weighted_aggregation,3,0,30,0,0.130066,0.027665,0.260133,0.030504,0.002839
weighted_aggregation,3,0,30,1,0.848156,0.409853,1.696313,0.580482,0.170629
weighted_aggregation,3,0,30,2,0.286435,0.076582,0.572869,0.093398,0.016816
second_price,3,0,31,0,0.717584,0.000000,0.179396,0.000000,0.000000
second_price,3,0,31,1,0.309955,0.000000,0.077489,0.000000,0.000000
second_price,3,0,31,2,0.812275,0.094691,0.812275,0.094691,0.000000
weighted_aggregation,3,0,31,0,0.717584,0.254860,1.435168,0.378604,0.123744
weighted_aggregation,3,0,31,1,0.309955,0.071563,0.619909,0.089721,0.018158
weighted_aggregation,3,0,31,2,0.812275,0.317950,1.624550,0.478120,0.160170
second_price,3,0,32,0,0.849376,0.090925,0.849376,0.090925,0.000000
second_price,3,0,32,1,0.758451,0.000000,0.189613,0.000000,0.000000
second_price,3,0,32,2,0.328641,0.000000,0.082160,0.000000,0.000000
weighted_aggregation,3,0,32,0,0.849376,0.332038,1.698752,0.506191,0.174153
weighted_aggregation,3,0,32,1,0.758451,0.270185,1.516902,0.408136,0.137951
weighted_aggregation,3,0,32,2,0.328641,0.072290,0.657281,0.091940,0.019650
second_price,3,0,33,0,0.719344,0.661969,0.179836,0.661969,0.000000
second_price,3,0,33,1,0.057375,0.000000,0.014344,0.000000,0.000000
second_price,3,0,33,2,0.011784,0.000000,0.002946,0.000000,0.000000
weighted_aggregation,3,0,33,0,0.719344,0.357812,1.438689,0.481949,0.124137
weighted_aggregation,3,0,33,1,0.057375,0.013713,0.114750,0.014305,0.000593
weighted_aggregation,3,0,33,2,0.011784,0.000428,0.023568,0.000432,0.000004
second_price,3,0,34,0,0.664404,0.000000,0.166101,0.000000,0.000000
second_price,3,0,34,1,0.699889,0.000000,0.174972,0.000000,0.000000
second_price,3,0,34,2,0.919052,0.219163,0.919052,0.219163,0.000000
weighted_aggregation,3,0,34,0,0.664404,0.186033,1.328807,0.281646,0.095613
weighted_aggregation,3,0,34,1,0.699889,0.209540,1.399777,0.320671,0.111131
weighted_aggregation,3,0,34,2,0.919052,0.353773,1.838103,0.559741,0.205968
second_price,3,0,35,0,0.896641,0.196406,0.896641,0.196406,0.000000
second_price,3,0,35,1,0.333219,0.000000,0.083305,0.000000,0.000000
second_price,3,0,35,2,0.700235,0.000000,0.175059,0.000000,0.000000
weighted_aggregation,3,0,35,0,0.896641,0.362597,1.793281,0.553106,0.190509
weighted_aggregation,3,0,35,1,0.333219,0.072443,0.666437,0.092392,0.019949
weighted_aggregation,3,0,35,2,0.700235,0.233976,1.400470,0.349471,0.115495
second_price,3,0,36,0,0.614824,0.000000,0.153706,0.000000,0.000000
second_price,3,0,36,1,0.364969,0.000000,0.091242,0.000000,0.000000
second_price,3,0,36,2,0.939618,0.324794,0.704714,0.324794,0.000000
weighted_aggregation,3,0,36,0,0.614824,0.184937,1.229648,0.269607,0.084670
weighted_aggregation,3,0,36,1,0.364969,0.084558,0.729937,0.109883,0.025325
weighted_aggregation,3,0,36,2,0.939618,0.407078,1.879236,0.619293,0.212214
second_price,3,0,37,0,0.693584,0.270516,0.520188,0.270516,0.000000
second_price,3,0,37,1,0.411353,0.000000,0.102838,0.000000,0.000000
second_price,3,0,37,2,0.423068,0.000000,0.105767,0.000000,0.000000
weighted_aggregation,3,0,37,0,0.693584,0.270737,1.387168,0.387591,0.116855
weighted_aggregation,3,0,37,1,0.411353,0.120111,0.822706,0.157257,0.037146
weighted_aggregation,3,0,37,2,0.423068,0.123543,0.846136,0.162643,0.039099
second_price,3,0,38,0,0.143416,0.000000,0.035854,0.000000,0.000000
second_price,3,0,38,1,0.890249,0.113678,0.890249,0.113678,0.000000
second_price,3,0,38,2,0.776571,0.000000,0.194143,0.000000,0.000000
